"书名","作者","朝代","成书年代","著作类别","内容概要","学术价值","简介"
"《考工记》","佚名（齐国人）","春秋战国","约前5世纪","城市设计规范","记述百工制度，包括攻木之工、攻金之工、攻皮之工等六大门类30个工种；匠人篇详细描述王城规划制度：匠人营国方九里旁三门，国中九经九轨，左祖右社面朝后市","中国第一部工科巨著，是中国古代城市设计和建造理论的经典著作，也是工业生产各工种设计规范和制造工艺的重要文献；匠人营国制度影响中国都城规划两千余年","中国现存最早系统论述工官制度与都城规划原则的先秦典籍。"
"《营造法式》","李诫","宋","1100年成书，1103年刊行","建筑设计施工规范","全书34卷，分释名、制度、功限、料例和图样五部分；记录壕寨、石作、大木作、小木作、雕作、旋作、锯作、竹作、瓦作、泥作、彩画作、砖作、窑作13个工种制度；规定劳动定额和用料定额","中国现存最早、内容最完整的建筑学著作，被誉为中国古代建筑百科全书；系统记录北宋官式建筑做法，上承隋唐下启明清，对研究中国古代建筑技术发展具有重要意义","中国古代官式建筑制度化程度最高的规范总汇。"
"《木经》","喻皓","宋","约10世纪末","建筑技术专著","中国第一部建筑专著，记录木构建筑的设计与施工方法；原书已失传，沈括梦溪笔谈中保存部分内容；分为上中下三卷，论述建筑尺度与比例关系","中国历史上第一部建筑专著，在营造法式问世之前被工匠奉为营造经典著作；虽已失传，但通过沈括梦溪笔谈流传部分内容，对后世建筑理论发展有重要影响","早期木构营造理论代表著作，虽已失传仍深刻影响后世。"
"《园冶》","计成","明","1631年成书，1634年刊行","园林设计理论","全书三卷，分为兴造论、园说及相地、立基、铺地、掇山、选石、借景等部分；系统论述园林设计原则：虽由人作宛自天开；提出借景、障景等造园手法","中国乃至世界最早的园林学专著，系统总结江南园林设计理论与手法；虽在国内一度失传，但在日本广为流传，影响日本造园艺术发展","中国首部系统论述造园艺术与方法的园林理论专著。"
"《工程做法则例》","清工部","清","1734年刊行","建筑设计施工规范","全书74卷，分诸作做法与用料用工两大部分；列举27种单体房座的大木做法，其中23例大式建筑4例小式建筑；严格贯穿模数制，建立以斗口为模数的清式建筑模数体系","继宋代营造法式之后中国第二部重要的建筑规范著作，是清代官式建筑通行的标准设计规范；建立以斗口为模数的清式建筑模数体系，对研究清代建筑技术至关重要","清代官式建筑设计、用料与估工的标准依据。"
"《长物志》","文震亨","明","约1620年代","园林设计理论","全书十二卷，分室庐、花木、水石、禽鱼、书画、几榻、器具、衣饰、舟车、位置、蔬果、香茗十二类；系统论述居室与园林的设计美学","中国古代居室与园林美学的重要著作，系统论述居室、庭园、花木、水石等设计美学，反映明代文人的审美趣味和生活理念","明代文人论述居室陈设与园林审美的重要著作。"
"《鲁班经》","佚名（民间匠师）","明","明代中后期","建筑技术专著","民间匠师建筑手册，记录房屋建造的尺寸规制、施工方法、风水禁忌等；包含大量图样和口诀，是民间建筑技艺的集大成者","中国古代民间建筑技术的重要文献，记录民间匠师的建筑经验和技术诀窍，是研究中国古代民间建筑技术的珍贵资料","反映民间匠师营造经验、尺度观念与操作口诀的实用手册。"
"《匠人》","佚名","西周","约前11世纪","城市设计规范","记述西周王城规划制度，匠人营国方九里旁三门；规定都城中轴线布局、道路宽度、建筑间距等；左祖右社面朝后市的布局原则","中国最早的城市规划文献，匠人营国方九里旁三门的都城制度影响深远，左祖右社面朝后市的布局原则沿用至明清","先秦都城规划思想与礼制空间秩序的重要文本。"
"《梓人传》","柳宗元","唐","约9世纪初","建筑技术专著","柳宗元为建筑匠师杨潜作传，阐述匠师设计建筑的全过程；论述建筑设计的统筹规划思想，将建筑匠师比作宰相治国","唐代文学家柳宗元论述建筑匠师的重要文章，阐述匠师的社会价值和建筑理念，是中国古代建筑思想的重要文献","以传记形式阐发匠师统筹设计作用的建筑思想名篇。"
"《水经注》","郦道元","北魏","约6世纪初","建筑技术专著","记述全国河流水道及沿岸地理、建筑、桥梁等；详细记录各地桥梁的位置、结构、建造年代等信息","中国古代地理名著，详细记录各地桥梁建筑，是研究古代桥梁技术的重要文献","保存大量桥梁、城邑与水系建筑资料的地理文献巨著。"
